Attribute count,Background,Skin,Cloth,Necklace,Mouth,Eyes,Hair,Hat,Type,mint,rank
8,Blue,Helios Burning Cat,Helios Burning Black Overalls,Helios Burning Purple Cape,No Trait,Helios Burning Eyes,Helios Burning Hair,Helios Burning,Helios,6myDDf3kCvMkeiTVxNaNsG2ULys2VFdLMW78oX29drfD,1
9,Special Blue,Helios Cat,Helios Black Overalls,Helios Clown Cape,Helios Wide Smile,Helios Black Makeup,Helios White Hair,Helios Flowers,Helios,DTCyADsn9LiGTfcz6mhxK2RqhNgkDm47nZ9sjCWVKctN,2
7,Special Blue,Helios Vampire,Helios Black Overalls,Helios Purple Cape,No Trait,Helios Vampire Eyes,Helios Black Hair,No Trait,Helios,DZzaY1rGA8M32W2npYH4Z69APaVBWJmw19s86SEWFKMm,3
7,Soft Blue,Helios Black Fur,Helios Black Overalls,Helios Purple Cape,No Trait,Helios Purple,Helios Purple Hair,No Trait,Helios,CXGqM7uxK2WNyQSUWavu1LpxLpLjWmG4pWSHDZicuU8m,4
7,Lagoon,Helios Cat,Helios Black Overalls,Helios Clown Cape,No Trait,Helios Clown Makeup,Helios Ginger Hair,No Trait,Helios,9nfgk65L8jfZWgWReV1GtVVZwUHU8wXPfcjPAvBotDyF,5
8,Special Orange,Helios Cat,Helios Black Overalls,Helios Purple Cape,No Trait,Helios Cyan Blue,Helios White Hair,Helios Shiba,Helios,CyHaohV2q8i97uYZbxwgktNkFmyb5WHKvTR1shD7Q66Y,6
8,Soft Blue,Helios Cat,Helios Black Overalls,Helios Purple Cape,No Trait,Helios Cyan Blue,Helios White Hair,Helios Cat Ears,Helios,9tuRvmDzDrvRrb4vvcjxsM7qJ8nWrtARydzUNix7EBEX,7
5,Base Background,Helios Momie,No Trait,Helios Clown Cape,No Trait,Helios Cyan Blue,No Trait,No Trait,Helios,98NN8EWci8YBopdPhQSftrcpbpRZEL6k53Pik2gA5CyS,8
7,Gradient Blue,Helios Cat,Helios Black Overalls,Helios Purple Cape,No Trait,Helios Cyan Blue,Helios White Hair,No Trait,Helios,CLcWJCeZxwPR2VBhzEqgmsACDk88CYREgYFqAHeJq6eG,9
3,Base Background,Skeleton,No Trait,No Trait,No Trait,No Trait,No Trait,No Trait,Aurorian,5phdpCPXqhrHhWuEYt8yTPJ5Ro3edNBndKLSd4fKpKCp,10
5,Base Background,Golden Skeleton,Open Leather Jacket,Aurory Necklace,No Trait,No Trait,No Trait,No Trait,Aurorian,9WEb3mWvw3fKjP3Nh4HHvavCHMJtLunZNRRAMg3FrTEi,11
6,Special Orange,Human,Zzoo Outfit,No Trait,No Trait,Green,No Trait,Zzoo Hat,Aurorian,Gn79r8t5ioPaMCQjr9X32shprAwU3EpeKkTUyhF4Cs76,12
5,Base Background,Golden Skeleton,Green Sweater,Flower Necklace,No Trait,No Trait,No Trait,No Trait,Aurorian,CPQW71npyquLM9X5KvjEgWBywHrtmW1Pt8rEkjZjEAmB,13
6,Special Blue,Human,Helios Outfit,No Trait,No Trait,Base Eyes,No Trait,Helios Hat,Aurorian,HTKfQesabzcyWnmrW2xEoiUV5ovJkoH6sbdvhgj8k8se,14
6,Special Blue,Human,Bitebit Outfit,No Trait,No Trait,Base Eyes,No Trait,Bitebit Hat,Aurorian,FBk4HBexYosjRxdT8RmHNRAuSdcGcJiSmJiBovZRB4ua,15
5,Base Background,Skeleton,Scarf,Aurory Necklace,No Trait,No Trait,No Trait,No Trait,Aurorian,42cvinfVDJDnM9W8hdFakq8teTwSTVTFUBUY8FcX8SVD,16
6,Base Background,Skeleton,Scarf,Aurory Necklace,No Trait,No Trait,No Trait,Raccoon Hat,Aurorian,1cersTmeR1sRL4W978HZ7rrE1SvtbfjoL82xdrtEpPw,17
6,Soft Blue,Human,Unika Outfit,No Trait,No Trait,Cat Green Pupil,No Trait,Unika Hat,Aurorian,9TNipv5xFT3cmLh35oayF9GwPPDMJCamPjmLQXYwdULn,18
6,Lagoon,Human,Dipking Outfit,No Trait,No Trait,Base Eyes,No Trait,Dipking Hat,Aurorian,8b1sMJTkpFENddfeSY563MmVuQE3NmfzotQ6YmFMDmqi,19
6,Blue,Human,Dracurve Outfit,No Trait,No Trait,Black Eyes,No Trait,Dracurve Hat,Aurorian,7bqEE61GNf6yuyFA7b3EEbMPieQAYBNDXQAaqsBs9pNt,20
6,Blue,Human,Dinobit Outfit,No Trait,No Trait,Black Eyes,No Trait,Dinobit Hat,Aurorian,E942JkW5HoMpKCrXjRsZKdzqwkngRU7xu4Vux1DfZnc6,21
5,Base Background,Skeleton,Overalls,No Trait,No Trait,No Trait,No Trait,Doughnut Hat,Aurorian,HnUyPuXtjFJYz2izRxq4gbcRdE6Vsu4fJtrCHAW83bRv,22
4,Soft Blue,Golden Blob,No Trait,No Trait,Cat Mask,No Trait,No Trait,No Trait,Aurorian,8jd9Lq4DPnSytntMFUur3rZ4yCHX7BM1Z3fkZqPFCGXd,23
5,Gradient Blue,Skeleton,Black Hoodie,No Trait,No Trait,No Trait,Shaved,No Trait,Aurorian,7u7j5csQNs3eCdC3twWf2gcjA18quYRPvfWhVkpcTXCe,24
5,Base Background,Skeleton,Jean Jacket,No Trait,No Trait,No Trait,Clementine Hair,No Trait,Aurorian,68ajLfNPnvarbBnKzcE5BPRDdspb56oe2xBaoJoxzJDd,25
5,Base Background,Skeleton,Puffy Jacket,No Trait,No Trait,No Trait,Blond Hair Attached,No Trait,Aurorian,95wFsCZVph51UnaxqPeFow9btHGRkpT1qz5CYXdb3P9v,26
4,Base Background,Golden Blob,No Trait,No Trait,Base Mouth,No Trait,No Trait,No Trait,Aurorian,BfusgB89iuy3S5zR6Qua3xVWDJFg4minZQjUZP9mx7ao,27
7,Base Background,Skeleton,Jean Jacket,Flower Necklace,No Trait,Heart Glasses,No Trait,Feather Hat,Aurorian,7dh2Vq65BCK2cLSr5oMmVMJZdhmidWqQVHCspMKPkQW2,28
8,Base Background,Human,Hawaii Shirt,No Trait,Big Smile,Cat Green Pupil,Combed Haircut,Unika Hat,Aurorian,G46ZybuHUmhknq6bm1TZ22NsC115u8kgBEU7QYfDnrd6,29
6,Gradient Blue,Human,Axobubble Outfit,No Trait,No Trait,Cat Eyes Red,No Trait,Axobubble Hat,Aurorian,EqPKMpmJro8br2CJWKGmi6h9S2yCg1WsSZJLFwexwEay,30
7,Base Background,Skeleton,Classy Outfit,Shark Necklace,No Trait,Viper Shades,Purple Dreadlocks,No Trait,Aurorian,HFbe87RpQMhgW7LzeDfifrPq7W5TgwTWQKXRastBuGM1,31
6,Base Background,Skeleton,No Trait,Aurory Necklace,No Trait,Viper Shades,Zero Two Hair,No Trait,Aurorian,DJTcqCoL8ToWcGAWRGRqAHGBjKxQnQHR5yj4FTD32W7w,32
7,Base Background,Skeleton,Classy Outfit,Shark Necklace,No Trait,Aave Glasses,Playmobil,No Trait,Aurorian,2pJGDziS2ud6FGXZ4Yb81TAYGcmfT6KgyD6SVs6muptM,33
7,Base Background,Skeleton,Classy Outfit,Aurory Necklace,No Trait,Blue Skull Glasses,Shaved,No Trait,Aurorian,AKU7DAWrYaDBP9boZ3mZrEi5krSdhZU2ttot22g9ap5z,34
