Attribute count,Base,Head,Face,Mouth,Eyes,Accessory,Clothing,Background,Signature,Legend,mint,rank
10,Old,Russian Hat,Bloody,Dosbrak Bandana,Laser Eyes,Diamond Glove,Blue Jersey,Green,Dosbrak,Alexander Ovechkin,5zrHcWR5NJrYk4cXLzGjo5r4aEDryUNkmwYhhGw32Lm,1
8,Standard,No Trait,No Trait,Dosbrak Bandana,Wayfarers,Ice Stick,White Jersey,Blockasset,Dosbrak,Alexander Ovechkin,Fm2mpoostHjGkwWoRgfE6b3q6PkTVeKsGgXg5f3hQXpS,2
8,Old,Black Helmet,No Trait,Dosbrak Bandana,No Trait,Diamond Glove,Blue Jersey,Black,Dosbrak,Alexander Ovechkin,B41NWEVi1umHEpwPswwobvgefJqwYCPZXhVNHb5R6Vtp,3
8,Young,Russian Hat,No Trait,Dosbrak Bandana,No Trait,Bloody Glove,White Jersey,Red,Dosbrak,Alexander Ovechkin,B6aUMUvW3xnSkDFKvWji8yFXRtiKvDiZZMFij6crhF4x,4
9,Standard,No Trait,Sweat,Dosbrak Bandana,Bruised Eye,Gold Glove,Patriot,Black,Dosbrak,Alexander Ovechkin,J4dHnk2ZuugoGMR3Cz1KVjWEUq8Yr2sdz2YHnwBXNt3m,5
8,Standard,Crown,Bloody,No Trait,No Trait,Bloody Glove,Blue Jersey,Blockasset,Dosbrak,Alexander Ovechkin,8vmES1vXD4N8qe3CCUECk35C9d8AEhPWguLhuui2pY1g,6
9,Standard,Crown,Sweat,No Trait,Laser Eyes,Gold Glove,Blue Jersey,Red,Dosbrak,Alexander Ovechkin,62L7kcA94hmF6ipth49qpQViD8XLa6Vkgo3UGyGo4o3j,7
8,Standard,No Trait,Big Beard,No Trait,Laser Eyes,Fire Stick,Red Jersey,Blockasset,Dosbrak,Alexander Ovechkin,2qAgxFdFq1wP6u2p2gzTx8Xu11atT8arRFmK6fXk6fcf,8
8,Standard,Crown,No Trait,Jaws,No Trait,Gold Stick,Red Jersey,Blue,Dosbrak,Alexander Ovechkin,9RDGvnijjYM7tHKrgGiQJkfJuaaNazMyyHvk466ZXHRM,9
7,Young,Crown,Sweat,No Trait,No Trait,No Trait,White Jersey,Red,Dosbrak,Alexander Ovechkin,EEA7GuGVvhR4KbDQDmoeS3sr1JvnycTubUqVEWeQN3T9,10
7,Standard,Crown,No Trait,No Trait,No Trait,Ice Stick,Solana Jersey,Blue,Dosbrak,Alexander Ovechkin,8m6Yj81oaEVZLpLR1GveqkiUCdeqcTiUPTGYFGQCymSH,11
7,Old,Crown,No Trait,No Trait,No Trait,Raining Pucks,Patriot,Green,Dosbrak,Alexander Ovechkin,HtMnMm8fng5Cxi1K7i1d1iB1fSJPnvjXj5bcqKWYdQrP,12
7,Old,Crown,No Trait,No Trait,No Trait,Raining Pucks,Black Jersey,Orange,Dosbrak,Alexander Ovechkin,7HQmtfP7rtTrrtFSUcuPfxY3PGFc38zou6RSeBd3JyuU,13
7,Standard,Crown,No Trait,No Trait,No Trait,Bloody Glove,Solana Jersey,Blue,Dosbrak,Alexander Ovechkin,GsJPt5YRUCfNhP1hEvqBYky6Y5acCpTdPDHAitjxn7cS,14
7,Old,Crown,No Trait,No Trait,No Trait,Raining Pucks,Black Jersey,Red,Dosbrak,Alexander Ovechkin,G3Ruop61dmDgEbtKygUsLYpuxiXupeZLK7F6kXcHgmCH,15
7,Standard,Crown,No Trait,No Trait,No Trait,Gold Stick,Black Jersey,Blue,Dosbrak,Alexander Ovechkin,AV9NQPnWZJGngSxysTKWSmxwYfuNfzNzhBovfCfjWQ7y,16
