Attribute count,Base,Head,Face,Mouth,Eyes,Accessory,Clothing,Background,Signature,Legend,mint,rank
7,Standard,No Trait,No Trait,Dosbrak Bandana,No Trait,Egg Ball,Nz Jersey,Purple,Dosbrak,Jonah Lomu,5z19Ebq5WCuoozQyT8B1srrV1hwbWW4WYQ5g6YQ4m2vX,1
7,Standard,No Trait,No Trait,Dosbrak Bandana,No Trait,Old Ball,Blue Suit,Orange,Dosbrak,Jonah Lomu,97vMSwQGeYV8cGjR2GsiPMybNoWtnAJ8nyBD7MUDGmiP,2
6,Standard,No Trait,No Trait,Dosbrak Bandana,No Trait,No Trait,Blue Suit,Red,Dosbrak,Jonah Lomu,FU31944VnuFXjMh4vYS2kzaMrHXJgcVD2b3Hj5qWnmSW,3
8,Standard,Crown,No Trait,Solana Mouthguard,No Trait,Crown Ball,Astronaut,Black,Dosbrak,Jonah Lomu,SzLZKeDqTfu4mJTsY4sF5KFPHnHAi5WsgkBJ1VtZEjS,4
7,Standard,No Trait,Bane,No Trait,No Trait,Egg Ball,Blue Suit,New Zealand,Dosbrak,Jonah Lomu,ArP85yJEo48RXaqwpdP3vK5yynNbm3hE7RGaxSPx4kw,5
8,Standard,No Trait,No Trait,Solana Mouthguard,Laser Eyes,Egg Ball,Cm Jersey,New Zealand,Dosbrak,Jonah Lomu,ApjGPGhXTg7RXG1dmaTabB6af8DUvSudw4GP1iexECmX,6
9,Old,Headband,No Trait,Solana Mouthguard,Wayfarers,Crown Ball,Nz Jersey,New Zealand,Dosbrak,Jonah Lomu,SHPdmdig4svCMPyigKVekAUNQx9h2v2tTSFUMigi2Gh,7
7,Old,Ba Snapback,No Trait,No Trait,Laser Eyes,No Trait,Cm Jersey,New Zealand,Dosbrak,Jonah Lomu,BWm6XVzqrxUGNrt72yT35qKBn1xDmTs8u3mFoXyvu5FN,8
8,Old,Crown,Bane,No Trait,No Trait,Ball,Shirt,Orange,Dosbrak,Jonah Lomu,33gk1mcCoy5xGX5WcNDqC192WtpeuTVWXEe2Kk5G2wCH,9
7,Standard,Halo,No Trait,No Trait,No Trait,Nz Ball,Nz Away Jersey,New Zealand,Dosbrak,Jonah Lomu,GPuwEUSaGBDJUsNicB8TLjqsuFR6oBVvJz4K2W4EyvNa,10
8,Standard,Hat,No Trait,Solana Mouthguard,No Trait,Nz Ball,Solana Jersey,New Zealand,Dosbrak,Jonah Lomu,JAbaYpfnm9wgVCJdkAheH6gaq6zo2cdgUY4nvXJDk9xk,11
7,Old,No Trait,No Trait,Nz Mouth Guard,No Trait,Ball,Nz Away Jersey,New Zealand,Dosbrak,Jonah Lomu,Er98cLrs8f9qk2FZJ9nfmEuS8UpHDhE1SFUXDbeEwEAt,12
6,Young,No Trait,No Trait,No Trait,Wayfarers,No Trait,Nz Away Jersey,New Zealand,Dosbrak,Jonah Lomu,7AEHLQWAEkfX2U22LJrXEphN6ubxNfwporPUduPuTYiA,13
8,Old,No Trait,Haka,No Trait,Wayfarers,Nz Ball,Nz Jersey,New Zealand,Dosbrak,Jonah Lomu,F7VnMgW5vxh3dYAcdVZz4SqhJriWtMcznKiuae7tizym,14
7,Young,No Trait,Haka,No Trait,No Trait,Old Ball,Nz Jersey,New Zealand,Dosbrak,Jonah Lomu,8faUdn9YpH4ti8eeq1tFJgdkB631eKWZyocN8K6LTLcK,15
7,Old,No Trait,Haka,No Trait,No Trait,Boots,Solana Jersey,New Zealand,Dosbrak,Jonah Lomu,ALx8GtPXwsHuTSWPLdbpQStxw6vvKSv4RGp31tuMc11n,16
8,Standard,Crown,No Trait,Nz Mouth Guard,No Trait,Boom Box,Nz Away Jersey,Purple,Dosbrak,Jonah Lomu,3cvre7scuug5AskMoMxcocA5aP2SkRAufR76vDe8QF9w,17
7,Standard,No Trait,No Trait,No Trait,Wayfarers,Egg Ball,Nz Jersey,New Zealand,Dosbrak,Jonah Lomu,Cu2vXw6yGsgwo7A84frCd9FmbKkc4YdhqX7N97fapHCt,18
9,Old,Crown,Haka,No Trait,Laser Eyes,Egg Ball,Solana Jersey,Gold,Dosbrak,Jonah Lomu,e7My888nyvT9E5DQhvL2KgGuTv8s1SJtrh9dWg4MRtk,19
5,Old,No Trait,No Trait,No Trait,No Trait,No Trait,Solana Jersey,New Zealand,Dosbrak,Jonah Lomu,DXqdp5VG4E6DRyGGtJZN1br5p6m8DA3QSCuVd1XPCTj,20
8,Young,Crown,Haka,No Trait,No Trait,Fire Ball,Blue Suit,Purple,Dosbrak,Jonah Lomu,2JXQDxnzm68VsryC5ijJpSUgFhoYzVTvbJHhm1cfncJT,21
8,Old,Crown,Sweat,No Trait,No Trait,Old Ball,Yellow Jersey,Orange,Dosbrak,Jonah Lomu,A7QMvsnG4XzBC4uQMmNX9qBUsYJakyV7mZjuJ9sg3vyp,22
7,Young,Crown,No Trait,No Trait,Laser Eyes,No Trait,Solana Jersey,Black,Dosbrak,Jonah Lomu,FrPEhQdqvkcHUEQMC7D2QU3quTcWV8TLt5hQNqxyqd2e,23
7,Young,No Trait,No Trait,Nz Mouth Guard,No Trait,Crown Ball,Astronaut,Blockasset,Dosbrak,Jonah Lomu,7Q6qbU2qU3Sfh98HM7PCc56B9HPKN2rMdQc6QTQZ5MZc,24
8,Standard,Crown,Haka,No Trait,No Trait,Fire Ball,Nz Jersey,Red,Dosbrak,Jonah Lomu,GBzZmMoHuHJniPgrb9fM5ZgZapN41V7VV5XjJrcw2QKR,25
8,Standard,Crown,No Trait,Nz Mouth Guard,No Trait,Nz Ball,Cm Jersey,Blue,Dosbrak,Jonah Lomu,7ok25AGeb6QQNSTBYn4Jeg6GE1NmPGmwJengYKWXrApY,26
6,Standard,Crown,No Trait,No Trait,No Trait,No Trait,Solana Jersey,Blockasset,Dosbrak,Jonah Lomu,12ERg53kY2xfDxme34uvabtQ1ch8LGTavtByyT35tU1K,27
8,Standard,Hat,No Trait,No Trait,Wayfarers,Diamond Ball,Blue Suit,Blockasset,Dosbrak,Jonah Lomu,8V6wjYwo1gyLAQvyB4mtpMkYHbAbRqP9UxRmC8V6wt1R,28
6,Standard,Crown,No Trait,No Trait,No Trait,No Trait,Nz Old Jersey,Purple,Dosbrak,Jonah Lomu,AJTSvNJ44V6KsYjCzSvCE64JEpx1PRZu76rcU6mVk7vM,29
7,Old,Crown,No Trait,No Trait,No Trait,Egg Ball,Shirt,Orange,Dosbrak,Jonah Lomu,C2PurUqjtjfiv9MwMutDvz9NUGbs8Ckjo8NGS1CL1JwB,30
