Attribute count,Base,Head,Face,Mouth,Eyes,Accessory,Clothing,Background,Signature,Legend,mint,rank
7,Standard,Dj Mikey B,No Trait,Dosbrak Bandana,No Trait,Knuckle Duster Spikes,No Trait,Teal,Dosbrak,Michael Bisping,A3VwY3rmRyfqnUXT8HAxVMJf2C3yJdA2vinVn1wb5M4u,1
8,Standard,Dj Mikey B,No Trait,Dosbrak Bandana,No Trait,Microphone,Suit,Red,Dosbrak,Michael Bisping,kwLGmPFPQ2rG8mLWRGEknfKXo4D5iE4cQjyd3xHmQHy,2
9,Standard,No Trait,Bloody,Dosbrak Bandana,Laser Eyes,199 Belt,Suit,Mustard,Dosbrak,Michael Bisping,5sUwB2S9vFwjuArbTNuY6ckvr2DEPiRdr3Yxs9pmo7Lo,3
7,Standard,No Trait,No Trait,Dosbrak Bandana,No Trait,Knuckle Duster Spikes,Jiu Jitsu Robe,Mustard,Dosbrak,Michael Bisping,A1uxKhu35gMa2xcKxKffARY56ujLAzqVuxUvY8TEjLLp,4
8,Bald,No Trait,Red Terminator,Dosbrak Bandana,No Trait,Bare Fists,Jiu Jitsu Robe,Black,Dosbrak,Michael Bisping,GHcpPkScts2rw5m5nkDkRSggrXpfL39wvWBF7LHmmGvU,5
8,Bald,No Trait,No Trait,Dosbrak Bandana,Wayfarers,Gloves,Tattoo,Black,Dosbrak,Michael Bisping,HmhPZ5MXEDxNz6hUBVkJJjBtuyXnjj6aqi7TgtfggN4v,6
7,Standard,No Trait,Gold Terminator,No Trait,No Trait,Gloves,Astronaut,Teal,Dosbrak,Michael Bisping,BMJUJZGeCnLhZJbPkSBzFNHsPRi4FdyLmAYeUgFsSTp1,7
8,Standard,Snapback,No Trait,No Trait,Laser Eyes,Knuckle Duster Spikes,Astronaut,Red,Dosbrak,Michael Bisping,qA45NqMq4bRNmVUPNFcdRa6EYdwGpcTFFwb2rsCy2wu,8
6,Old Mike,Announcer,No Trait,No Trait,No Trait,No Trait,Astronaut,Blockasset,Dosbrak,Michael Bisping,D4eFHs14dDHEgLZGJCZkx2CmbRtqwrskhvHEvNrdafCE,9
7,Old Mike,Announcer,No Trait,No Trait,No Trait,Sol Gloves,Astronaut,Black,Dosbrak,Michael Bisping,82hvJz9iAPC59RJGU5Rpg8Vy19D1qA78HCMTrqfyZb1u,10
9,Standard,Crown,Red Terminator,No Trait,Laser Eyes,Microphone,Suit,Mustard,Dosbrak,Michael Bisping,9LoxPywy2UT36hTWsiaQFDT2rgnfShGoPn4Vn5PyjFXq,11
6,Standard,No Trait,No Trait,No Trait,No Trait,Bare Fists,Astronaut,Blockasset,Dosbrak,Michael Bisping,7zHVNDPr1aMdbSiM3DG3rXiQ3YugLvHjGFcgzGmv5KWq,12
8,Standard,No Trait,No Trait,Cigar,Wayfarers,Bloody Gloves,Astronaut,Black,Dosbrak,Michael Bisping,AgB9inXC6siAAWuY6eUApfnSV2bS2snvq5p78gFCy9cc,13
8,Standard,No Trait,Bloody,Falling Mouthguard,No Trait,Gloves,Astronaut,Mustard,Dosbrak,Michael Bisping,6K3hrRk3vmrRPvh4zB6JiYkanpaBtqp2qAyr7WvXWP5f,14
8,Standard,Snapback,Bloody,No Trait,No Trait,Bare Fists,Astronaut,Red,Dosbrak,Michael Bisping,FqkVv48aDJKBHJcYo5oJbG2pxAXBtfmV64wNTZh9t5aJ,15
