Attribute count,Base,Head,Face,Mouth,Eyes,Accessory,Clothing,Background,Signature,Legend,mint,rank
7,The Greatest,No Trait,Sweat,Dosbrak Bandana,No Trait,Lightbulbs & Wings,No Trait,Black,Dosbrak,Muhammad Ali,DzeZSP2TJkx2Lu9P4fCD2cC8ifJGXQAB53qBkdhtrQYk,1
8,The Greatest,No Trait,Sweat,Dosbrak Bandana,Bruised Eye,Postage Stamp,No Trait,Purple,Dosbrak,Muhammad Ali,7YzGpzXsc8dWaSxzLUVsM4wgn5oX55RjuNwC72PDX2cg,2
7,Underwater,No Trait,No Trait,Dosbrak Bandana,Wayfarers,No Trait,Navy Suit,Purple,Dosbrak,Muhammad Ali,4aCfXar7xwd7CE4VHEMbpwcn4ZsQuX7rD59YhusA4jUc,3
6,Underwater,No Trait,No Trait,Dosbrak Bandana,No Trait,Towel,No Trait,Black,Dosbrak,Muhammad Ali,5KkXZEaG6ffZZXvmpsxRidzpoHxMtnfRXUcRJYYL8YHn,4
7,The Greatest,No Trait,Scratch,Dosbrak Bandana,No Trait,Speed Ball,No Trait,Red,Dosbrak,Muhammad Ali,4YsK8YGXHhwNh6C7kgN8o6exJwY2TbDsDqg8tKxqYj83,5
10,The Greatest,Hat,Moustache,Goat Mouthguard,Side Eyes,Postage Stamp,Purple Suit,Cabin,Dosbrak,Muhammad Ali,GRDPyqPtJDUfcJF72tPKB1f3NdL8UAYDLkSRo6iSJ9m9,6
6,The Greatest,Hat,No Trait,No Trait,No Trait,Lightbulbs & Wings,No Trait,Cabin,Dosbrak,Muhammad Ali,2HCerZxpfFmYE4d94AaH112rTMft6NzpVwvDW5fJRDFx,7
9,Butterflies And Bees,Hat,Scratch,No Trait,Bruised Eye,Postage Stamp,Navy Suit,Cabin,Dosbrak,Muhammad Ali,FQGzeWKTFstKeo2fzoBskifYtxGiBiHtR7yXqm3PDCvE,8
7,The Greatest,Sparring Headgear,No Trait,No Trait,No Trait,Diamond Gloves,Astronaut,Purple,Dosbrak,Muhammad Ali,7XXwAJaQSJEoJJqGgZHbt8p4hppwSCkV97jAzMqrAS4w,9
9,Underwater,Crown,Scratch,Medal,Wayfarers,No Trait,Purple Suit,Usa,Dosbrak,Muhammad Ali,28Sykni1DxoFTCAQP3BDm3Tsh8fsxCCD4JwJvgzYogmN,10
8,Underwater,Crown,Sweat,No Trait,Bruised Eye,Lightbulbs & Wings,No Trait,Black,Dosbrak,Muhammad Ali,4Jbj17sJEcc7NmLMqbXLjwEMqtX6QEctP3wWzNvMJRZu,11
7,Butterflies And Bees,Sparring Headgear,Sweat,No Trait,No Trait,Postage Stamp,No Trait,Cabin,Dosbrak,Muhammad Ali,5EiQCACdJEoW1aWBMe3qvNMkfyPNVmHps8FyBJKZHYze,12
8,The Greatest,No Trait,Scratch,No Trait,Wayfarers,Speed Ball,Navy Suit,Cabin,Dosbrak,Muhammad Ali,YBHcQsLFeysfYWoyTnFDSFLNfpWNAHhJq12nmVwurUm,13
5,The Greatest,No Trait,No Trait,No Trait,No Trait,No Trait,Elvis Gown,Cabin,Dosbrak,Muhammad Ali,HHavjyJpZ499CTwHdX4BFGC7iLdzxT5j2Kkju4auKRGw,14
9,Butterflies And Bees,Sparring Headgear,Moustache,Goat Mouthguard,No Trait,Red Gloves,Astronaut,Red,Dosbrak,Muhammad Ali,HD1kwHWjYea2oYpANQPWuDydphTtJbubGXN71q5LusXP,15
6,Butterflies And Bees,Sparring Headgear,No Trait,No Trait,No Trait,No Trait,Peach Suit,Cabin,Dosbrak,Muhammad Ali,397tQHhE1bxShGWfVABMCvdkkzX1R2eKcAQgCHFuAnUZ,16
6,Butterflies And Bees,No Trait,Sweat,No Trait,No Trait,Postage Stamp,No Trait,Cabin,Dosbrak,Muhammad Ali,95bpfhPwPXDPHWceFZeEsRgFNi3t8TpTQ3M9cpBGct7e,17
7,The Greatest,No Trait,Sweat,No Trait,Wayfarers,Towel,No Trait,Cabin,Dosbrak,Muhammad Ali,3Wm4d3DqQx2jPhEjgGMAEfK2CsKqc29k9ZLL7zjG882B,18
6,The Greatest,Crown Goat,No Trait,No Trait,No Trait,Speed Ball,No Trait,Cabin,Dosbrak,Muhammad Ali,C7b89kXgWoTuw1TzUamnubm2dYwzitsX5YdwbZP5HQL4,19
6,The Greatest,No Trait,No Trait,No Trait,No Trait,Speed Ball,Navy Suit,Cabin,Dosbrak,Muhammad Ali,F7pW4nRYEUd6FWxkTUxawxMeFquXP3Gv4QrdcrZZ8fjY,20
8,Butterflies And Bees,Crown,No Trait,No Trait,Side Eyes,Black Gloves,Elvis Gown,Red,Dosbrak,Muhammad Ali,B11J3QXNN984YkNNdcQhJDpyDcuDSxvRQ27orD5XnYd9,21
8,Underwater,Crown,No Trait,Medal,No Trait,Mirror,Navy Suit,Solana,Dosbrak,Muhammad Ali,J8nzu8seE37UCergYwycFN3MPfoyWwDcYGhRknsMJPyn,22
6,The Greatest,No Trait,No Trait,No Trait,No Trait,Black Gloves,Navy Suit,Cabin,Dosbrak,Muhammad Ali,JC9o6U8kwQy1711tLJKbUCWdiq4WyPFtfAcZTA3SYVa1,23
5,The Greatest,No Trait,No Trait,No Trait,No Trait,Towel,No Trait,Cabin,Dosbrak,Muhammad Ali,FrgWdUJ8itWtPrjmwC5KWapx1ETLT5Lccb7NS15r77wx,24
8,Underwater,Crown,No Trait,Goat Mouthguard,No Trait,Red Gloves,Elvis Gown,Black,Dosbrak,Muhammad Ali,8erHQCckCeNkfTJc2dUNZQH6HuQ6ekPx2XdPpPyLzFA2,25
6,The Greatest,No Trait,Sweat,No Trait,No Trait,Red Gloves,No Trait,Cabin,Dosbrak,Muhammad Ali,AdamqHQTg9WnucxY73is8tcejFAZgrEU2tNa91kQjSn2,26
8,Butterflies And Bees,Crown,Sweat,Medal,No Trait,Mirror,No Trait,Orange,Dosbrak,Muhammad Ali,AbY6UYbjdKdigJrVftcvZBtWs5v8s1iZgYVbyYiD1HTz,27
8,The Greatest,Crown,No Trait,No Trait,Bruised Eye,Postage Stamp,Gown,Gold,Dosbrak,Muhammad Ali,FX9UaqjsKpNJUjNq2v1uf9G265oHtkHjxHML3EGA9jgN,28
8,The Greatest,No Trait,No Trait,Locked,Bruised Eye,Microphones,Astronaut,Gold,Dosbrak,Muhammad Ali,AwxBNbdkt139FU8VkCVi85neGyW2vuMEDvoCeVhgwrSu,29
