Attribute count,Base,Head,Face,Mouth,Eyes,Accessory,Clothing,Background,Signature,Legend,mint,rank
7,Young,No Trait,No Trait,Dosbrak Bandana,Laser Eyes,No Trait,Managers Jacket,Orange,Dosbrak,Wayne Rooney,HXoHYM8fFHCVreFftAWF6AWEqJKMBd6YRMzRSNDTPSfK,1
7,Old,No Trait,No Trait,Dosbrak Bandana,No Trait,League Trophy,Red Jersey Torn,Black,Dosbrak,Wayne Rooney,3ZJcGiLiCdUd4KirwTBM4UiuVhYPmeyqtawbAPMYXf6G,2
10,Standard,Winner Hat,Sweat,Dosbrak Bandana,Bloody Eye,Red Card,Red Jersey,Green,Dosbrak,Wayne Rooney,8WW45im2MJgPrhYp1VGgwfAVBvMGRy16XKpN1PF4SL7M,3
8,Standard,No Trait,No Trait,Dosbrak Bandana,Wayfarers,Pigskin Ball,Blue Jersey,Green,Dosbrak,Wayne Rooney,EtNsTzFSgEu5Q2nTeURW5tHMDsxhvva3QtC4LRiGLabG,4
7,Standard,No Trait,No Trait,Dosbrak Bandana,No Trait,Confetti,White Jersey,Orange,Dosbrak,Wayne Rooney,74UWZpnDJsTWhKhzPWTtY1Wnz9Qzuxrh6utkFnL8hcq3,5
9,Old,Winner Hat,No Trait,Medal,Laser Eyes,Diamond Ball,Red Jersey Torn,Green,Dosbrak,Wayne Rooney,6VpSNoseaAsYH8sfds3L8s96UQkg9KvLWZwFNMc3LhZx,6
8,Old,Winner Hat,Ad Beard,No Trait,No Trait,Confetti,Astronaut,Blue,Dosbrak,Wayne Rooney,Epu9W2Y1zbTxPHV1NLrbwQxePrgARkghBPpKXSUwxEiY,7
9,Standard,Ba Snapback,No Trait,Diamond Grill,Bloody Eye,Diamond Ball,White Jersey,Black,Dosbrak,Wayne Rooney,AwQhf8GeUh7t2kL1HcGfNqMHupVtQ9yoatFujGaqf11h,8
7,Standard,No Trait,No Trait,No Trait,Wayfarers,Diamond Ball,Suit,Team,Dosbrak,Wayne Rooney,J5Hm9B8rg3qAjNYjhFcy6LE6VyexesDqYrkCoYsnpWn7,9
8,Old,Ba Snapback,No Trait,No Trait,Wayfarers,Diamond Ball,Blue Jersey,Blockasset,Dosbrak,Wayne Rooney,Emh6A6AuwWwSgUT4Z6Zz1cDmfjLWzvLUSGjLpZTXVGa3,10
