Attribute count,Background,Skin,Specialty,Clothes,Neck,Head,Eyes,Mouth,mint,rank
6,Heaven,Nebula,None,Dedoctor Coat,Gold Chain,Medusa,Steampunk Goggles,None,6CCprsgJT4nxBMSitGathXcLshDTL3BE4LcJXvSFwoe2,1
4,Deep Ocean Blue,Ice,None,None,Solana Chain,Medusa,None,None,2973mQSn8ywhXn5swZ9xTWPp1xuygwjWjLijhL7qRYTW,2
6,Olive Green,Blue Sky,Third Eye,Top God Jumper,None,Medusa,Night Vision Goggles,None,BQnx4PKRR5k7ZqhRpfGHpzpjgYP8pzWm3nJWVhykeFyT,3
4,Hell,X-ray,Mythic Wings,None,None,Medusa,None,None,635juNWYHBZJ4uMgCP3friYvWrtCAfYUydEFZkpA7QfC,4
4,Olive Green,Zombie,None,Mythic War Armor,None,Medusa,None,None,29nCiqQ1RDX9HrKGjomU3w5GjbMar4k9iS3AXNLgFU65,5
6,Supernova,Transcendent,None,Bloody Beater,Diamond Necklace,Medusa,Playboy Bunny Glasses,None,9XHFfUsxMBW4TKE14KL4ygjAsyaYvRD7h3XsAD2pPvmH,6
3,Deep Ocean Blue,Joker,None,None,None,Medusa,None,None,JtkN1XR95amvRYrkpjbfVVoQGzRqBx85WYBeGHB3TAq,7
6,Deep Ocean Blue,Zebra,Devil Wings,Godly Tunic,Solana Chain,Medusa,None,None,5XQRLG3QM4syUAy6UFzCgMAHKqbPW1W2HjeijMoqHwiy,8
4,Deep Ocean Blue,Acid,None,Bloody Beater,None,Medusa,None,None,Ag73LjBHoR7a9rfwXeEviQp2KeFok1vj7oAhP2tDcy5p,9
5,Deep Ocean Blue,Transcendent,Black Eye,Hazmat Suit,None,Medusa,None,None,A9DBnNmQGzaUwYwYdwUAxa66AofqHGutzxw7Xim8oWnm,10
5,Deep Ocean Blue,Zebra,Quarterback,Divine Robe,None,Mythic Helmet,None,None,DW4fqK1tob546eUxH6KcCDyJX7QB1zGDP6qYeAQWyYVT,11
6,Deep Ocean Blue,Ape,Forehead Diamond,God Beater,None,Medusa,Rainbow Laser Eyes,None,CcWzMRxnKpHcXqXohWW16bfdsYpkq72ZB63ovWjQXvJh,12
6,Heaven,Marble,None,God Jersey,Gold Chain,Medusa,Glowing Eyes,None,2VNE77nwYiGaaQ73yDpA3YB8GAfwWQgAUvTRUr2DmoxW,13
5,Deep Ocean Blue,Zombie,None,Hazmat Suit,None,Medusa,Playboy Bunny Glasses,None,7EQen7r9j85g4A8ytLanZwiMGyXSMzREzjghCQXhTwxe,14
8,Olive Green,X-ray,Mythic Wings,Mythic War Armor,Christmas Lights Chain,Bed Head,Rugrat Frames,Party Blower,5mUCrkcGTGFrYK4S7qxHAMFFjQfD4F1r8RtLfXxiLfGA,15
