Attribute count,Background,Fur / skin,Head,Mouth,Teeth,Clothing,Eyewear,mint,rank
5,Blue,Blue / Peach,Space Helmet,No Traits,Gold Teeth,Space Suit,No Traits,5fzi7TauBFdac94hvm8DcTVN7jrCwYmf6PLuT2TJA7oe,1
5,Purple,Purple / Purple,Space Helmet,Smooth Brain,No Traits,Space Suit,No Traits,6p1PPMYGkKjBCXmWsBAETqiAEAEekgTaEMjmPUKLzjUc,2
5,Blue,Ice,Space Helmet,No Traits,Gold Tooth,Space Suit,No Traits,7PskSR6gHcFYJ5ApzzxBt56WHJPPqrptZyTWnfg8PaS5,3
5,Yellow,Brown / Yellow,Space Helmet,Cigar,No Traits,Space Suit,No Traits,Eb89RFb5MZh4QWaae7m3pMQf5S1eNwUvoaYcpiDGdBfE,4
6,Red,Red / Blue,Space Helmet,Dirty Fiat,Gold Tooth,Space Suit,No Traits,1WZCBuFu11hwnQqbSskMxTiFTPce2nKPkxPe9y3SXqB,5
4,Yellow,Leopard,Space Helmet,No Traits,No Traits,Space Suit,No Traits,6hNK8JxrpPCfNGGbLNh1QPzh8JCuicgjWDF7YKYfKchk,6
5,Black,Black / Gray,Space Helmet,Burger,No Traits,Space Suit,No Traits,DiDUiFwZWeThuiiZmdUBWC3MHB7tuotY1TFFafjHxZj6,7
4,Black,Albino / Peach,Space Helmet,No Traits,No Traits,Space Suit,No Traits,BFgdCexCw6K6WvVCYiXrFY9otaQHMAWu9aNWZ8faxpzQ,8
4,Blue,Albino / Blue,Space Helmet,No Traits,No Traits,Space Suit,No Traits,5JZhqtin6Qh3FgbWmynqrmzGAe2CdfMTNNvwF2FbCi6S,9
4,Green,Green / Green,Space Helmet,No Traits,No Traits,Space Suit,No Traits,7LXsdHB3UyjWZiFC765nj8hmThAuXjfkxPia3qVXqGTF,10
6,Teal,Green / Peach,Musketeer's Hat,Ape-le Juice,No Traits,Prince Charming,VR Headset,DTgRd4cn1GnASt3FekYTnMTFKa7xdkAL9CBMEYN3peGg,11
5,Purple,Purple / Peach,Roman Helmet,Drool,No Traits,Prince Charming,No Traits,HeVXJCURxNSjkXESJvnofvmxZ3bAziepJWLk5EfqEt3y,12
5,Green,Zombie,Harambe's Halo,Smooth Brain,Gold Tooth,No Traits,No Traits,9MwGzSyuQRqmBHqmYwE6wbP3vzRBj4WWiYxWns3rkR7A,13
5,Green,Green / Green,Roman Helmet,Golden Tendie,No Traits,NB-Ape Red,No Traits,ALX68qbiJpbtUXKpLWvwzs4rcudjYFzQKCizJWjJqvwT,14
4,Blue,Acid Trip,Beer Hat,No Traits,No Traits,Space Suit,No Traits,3T3bLieaY2dvJepuYCdLP1c9fYe9Vs33rFMyevo1NWbK,15
4,Purple,Purple / Purple,Harambe's Halo,No Traits,No Traits,Biggie Sweater,No Traits,8K4rjT6VwjEFyb1nLACueZtLM6ySceDR6urrJgqGYfwU,16
5,Black,Black / Peach,Harambe's Halo,Crayons,No Traits,Suit,No Traits,HCtiWFmT3ytpaWcY51re6TrvQwMUNHHDzvukKJSL2amV,17
5,Blue,Zombie,Captain's Hat,Pipe,No Traits,Prince Charming,No Traits,4mTJ1Qqwi6e5f3uqKWg6GcRmvpSJqbKspvLj2BGBLXf6,18
5,Red,Albino / Peach,Harambe's Halo,Cigar,No Traits,Silk Robe,No Traits,DqfNUJDLDJRmiom8qgPP9GnukUoRr7S1MJZMbHEVRZ6P,19
4,Blue,Acid Trip,No Traits,Crayons,No Traits,Overalls,No Traits,CZbMA8tNrTbE4ippZ5Dah2t9qHAAtTkaubkd3cYDDmfi,20
6,Green,Green / Peach,Harambe's Halo,PV-Ape Glue,No Traits,Wetsuit,Wayfarer Glasses,B2umjaNCs6B5Tb1ekvP6TpLPj3fxVm4svHcT1F2bHtPy,21
6,Black,Gold,Explorer's Hat,Crayons,No Traits,Jungle Explorer,Aviator Glasses,7BCFZaELUqFRmL1KU1io48sSs5W4fmnWLratPhBpeBdB,22
4,Purple,Leopard,No Traits,Golden Tendie,No Traits,Fur Coat,No Traits,CJTqcYzmu6my359KKSoXFp5aVxgMHpAdndPEKxopr25Z,23
5,Purple,Purple / Peach,Degen Service Hat,No Traits,Diamond Teeth,Degen Service Shirt,No Traits,4JtYNg151QGTNfz1USAcJcK8uJ1gUsFfqsyZ1oR7kQJ4,24
5,Purple,Green / Peach,Harambe's Halo,Hotdog,No Traits,Turtleneck Suit,No Traits,E5pBB821d35CYfWD6JrdHasZ4xix4m11HKY9HPe5UFWY,25
6,Blue,Blue / Blue,Captain's Hat,Cigar,No Traits,Prince Charming,Round Glasses,2PETETMPkouE9PpanyTAMSKrgUA7vP4VGSzfhJhEzMAF,26
5,Blue,Leopard,Graduation Cap,PV-Ape Glue,No Traits,Prince Charming,No Traits,E3m7aqu4uxASaNK5zg1RZHC6x6TxS1NVvnJzN6YJuuWP,27
4,Blue,Acid Trip,Degen Service Hat,No Traits,No Traits,Degen Service Shirt,No Traits,2AEt931Lpu1X31uBYGhBS9GTS7DGy9H9VexgoqdybyVZ,28
4,Yellow,Gold,Crown,No Traits,No Traits,Denim Vest,No Traits,XCkMqV8BhEpPxw654kSB1oP3JZ9vbg4dwMpe3GWqv6o,29
6,Red,Purple / Purple,Harambe's Halo,Pipe,No Traits,Cheerleader,Round Glasses,28GVVmfTiPxNXFdwWpwi82TjqdsdNrD3oDNx9tL8hcfL,30
7,Teal,Acid Trip,Beanie,Eggplant,Gold Tooth,Jungle Explorer,Ape Vipers,3WLWSvKMRnJpMgW5VfrohEHjYYYGgHiXnjAMeTqfu2m2,31
5,Blue,Gold,Pharaoh's Neme,No Traits,Gold Tooth,Overalls,No Traits,a5BuJkS8bAhbD4bd4JZdbUC2SxyNCasgkutZGj8L8t1,32
5,Red,Red / Blue,Top Hat,Dirty Fiat,No Traits,Prince Charming,No Traits,3MJ9N9G5LSYz5T2rsX33iKY7bcvmaf2D6etNDg6DCbAL,33
5,Blue,Blue / Blue,Harambe's Halo,No Traits,No Traits,Striped T-Shirt,3d Glasses,CU7sbdFLBfsvBTkFx4ikEuukXWzay6CZLXxDHLwY7uK9,34
5,Black,Black / Gray,Harambe's Halo,No Traits,No Traits,Turtleneck,Ape Vipers,Etff559MmpYsrhBRkDbGriwNHLhp3KJuF5HLKRUM2VBK,35
5,Purple,Acid Trip,No Traits,Smooth Brain,Gold Tooth,Ski Jacket,No Traits,HioVMeY95of7Wrieehf6Lw2iWFiqrr2zachcUQmtZ8LB,36
5,Black,Black / Gray,Harambe's Halo,Drool,No Traits,Leather Jacket,No Traits,6hfVqNKP2PUmqtJi83n3cBqeZaHkiaids7yigHdKKRjZ,37
