Attribute count,Type,Clothes,Ears,Mouth,Eyes,Hat,mint,rank
2,Skeleton,Orange Jacket,None,None,None,Crown,9ARngHhVaCtH5JFieRdSS5Y8cdZk2TMF4tfGSWFB9iSK,1
0,Solana,None,None,None,None,None,CeLCfukThWDUii8Zyn76qFv6vmvytsFYzmTddqC411xQ,2
0,Skeleton,None,None,None,None,None,2TP6G8d1PKj2nNv4UEAeX45gTtFUiZTmNQKDNceR5Xz9,3
0,Alien,None,None,None,None,None,EEKnxE71973JhCks6gPnfkTMEoyMm1iapoozHgR8h74q,4
0,Zombie,None,None,None,None,None,H3VKWGCTVwqBMjVBU5EU7V29T1BTk5EHj3kztRV3Hnce,5
0,Purple,None,None,None,None,None,4WPZFbLNHvtvpDXncJTtuREDfeFeYs57BttvdBCc9uYT,6
2,Zombie,Diamond,None,None,None,Red Beret,9NURZyLMATCrNuPPHojGLpyhdmWz1koN9zWyQ2U42DPt,7
2,Orange,Diamond,None,None,None,Protagonist White Hat,APALR3GmSMhVmE3t3Pw4a4nHArt5PVxPWXczzud3B5Kj,8
2,Orange,Diamond,None,None,None,Orange Backwards Cap,DnS5vJY7UdW8K5o5uEGd6uw66bsntt8EPckCQdQmjz2v,9
2,Orange,Diamond,None,None,None,Blue Backwards Cap,HZYWNkJ5fK3TEDrzwiTsCNiugS2EfQQR3oFPmSm3weRG,10
2,Orange,Diamond,None,None,None,White Fedora 1,3YD9WExfGoVxeLxgPpSwEK8ExEpehmDKMnzbxbMqiN23,11
2,Brown,Diamond,None,None,None,Black Fedora 1,6P9qtkt4wwFCJVbsq6rjwHCEpn945kCuvAFiKLo5ArLY,12
2,Skeleton,Black Kimono,None,None,None,Ninja Bandana,4cCg89Hpx1f2d515Qw3AvS8K4FB8KrFdkkeM12Rs9yVQ,13
1,Brown,Diamond,None,None,None,None,HfJ99DDDszGzmomAVGJCgYyd3VyXs6HBUpgMEczRK3Gf,14
3,Dark,Black Kimono,None,Mask,None,Ninja Bandana,E95ekJwKz5CsguDaTYftPDmzBcAbeprwxTXp3jsimbCG,15
5,Solana,Orange Shirt,Gold Earring,Cigarette,Cool Glasses,Cowboy Hat,7noSr2stTWduNVNvDQWgcT1T8r8Gq2APy5iuuKnYXr2j,16
3,Solana,Black Kimono,Silver Earring,None,None,Protagonist White Hat,KnmNouwfoWL4vh61AGGYEP2Rz3Dtx8eJdBwLxqSo1N6,17
4,Alien,Green Shirt,Gold Earring,None,Purple Glasses,Ninja Bandana,66Z77wo6E5dnp8dSHfW6ERgrw6hV2oxP7PK3oNE8dLZo,18
2,Skeleton,Beige Smoking,None,None,None,Space Warrior Hair,9qLBa1XiByTHeviYt2g83VCkWAX3g8J79BHrsQQrJUkz,19
4,Purple,Red Shirt,Silver Earring,None,3d Glasses,Ninja Bandana,8sAnAhwD7HqNFw168CXQJnUsJ4Tv52wN2LCVKV6XMV2K,20
3,Purple,Roman Armor,None,Cigarette,None,Space Warrior Hair,DTprzEJUCMm3J1AfYi4FGjP6B9qLAes3rENKUwA5yGxE,21
2,Orange,None,None,None,Vipers,Ninja Bandana,2XBSMjq3KkCLVZJCZkiWfzwoywiszLzzXBfrPYHDkVhQ,22
3,Brown,Green Shirt,None,Mask,None,Ninja Bandana,2KWWuqWRXseMvCfp6tAqKYvRPxT8W5QSUeej3qtvaNiW,23
2,Purple,Biker Vest,None,None,None,Ninja Bandana,HqoCQogCSr7DUz6ZUjegwKoadmR9PGsxK14yipa4X1jU,24
5,Skeleton,Purple Shirt,Silver Earring,Pipe,Gold Glasses,Orange Backwards Cap,CtRTyAYdo8Jqam3muKX1GAVR4G8UwmYbisQPogBfykDk,25
3,Zombie,Red Shirt,None,None,Laser Eyes,Space Warrior Hair,9Br5eHbEJsJgBoScPaMNGY1pxNzJw8CMvNxzeE7AoCSg,26
2,Red,Black Smoking,None,None,None,Ninja Bandana,B6GK95w9C8rntHdq4AjkqLFNKjcHLycnjSYYBzgUrtsY,27
4,Orange,Military Vest,Gold Earring,None,Yellow Glasses,Space Warrior Hair,CTjniF12YMdwDeQyntSccDdp5bJY5PpB4k5graPv7yVy,28
3,Red,Red Shirt,None,Cigarette,None,Ninja Bandana,4Wxb7B2u1nTBGQXTzayc9acL7wjqPCaLAQCqLjCG2Jc3,29
3,Orange,Red Shirt,None,Cigarette,None,Ninja Bandana,FiB2nXoWcC5DJwYwDyFSjYJsrSFWiAVJPmf3qVchMUjN,30
2,Red,Beige Smoking,None,None,None,Ninja Bandana,BxjecZJcV949itMjMHoAZK1jPHqYwZYsx53xSXqDZFJa,31
2,Orange,Blue Shirt,None,None,None,Ninja Bandana,8ruvQmfPqfjU79NF2CYjJ3mTUB7NGC6jNzcsFpYn7ByE,32
2,Solana,Pirate Vest,None,None,None,Blue Punk Hair,D5hM3pUUgTQf73jrtpHS9uojM3FkgdWbQ6dcTPjKAGue,33
4,Brown,Beige Smoking,None,Cigarette,Laser Eyes,Space Warrior Hair,GcCo1SAPFdkiMAzuzdsF29Lo1S6ovG7Tsu1BFAAYCESS,34
3,Dark,Green Smoking,Gold Earring,None,None,Space Warrior Hair,GVJ2PbWd4qdH56F4KKHMmpj4tefuCymzgek21qnfxyzU,35
4,Solana,Beige Smoking,Gold Earring,None,Green Glasses,Military Helmet,BaKvTcrB3DVP2JYJKegdNrkYZjMFbKv1T2tH1QboQeKD,36
3,Orange,Purple Shirt,None,None,Solana Vipers,Admiral Hat,59RdvptUFhCiQDzLgKcDWBY95MTiFYMwXxvcng66CDYp,37
3,Solana,Sailor Vest,None,None,Cool Glasses,Pink Headset,2FtbHuzaS3aNcqmkU6AsBamihGXLVfizTDS3EMuQ9MRP,38
4,Orange,Brown Jacket,Silver Earring,Vape,None,Space Warrior Hair,GtNYKhfYjGSYkh25hws1at6dqjGwzFX3X8DbTG1dxH9f,39
3,Dark,Red Shirt,None,None,Cool Glasses,Space Warrior Hair,5hXL5nSFMmC5akqPrxtKotwdpC2jeGDGsKNxZaQCBrK6,40
2,Purple,Poncho,None,None,None,Space Warrior Hair,Aj9Da1BBD8TiFSdi5Ye6paUrnDququkKtnxLQPRkL7Dq,41
3,Solana,Purple Shirt,None,None,Gold Glasses,Military Helmet,Axj9VD5Hs1Q8ReR3LeMXbAwUvgA5WdeAPF5PGmQD7mzV,42
1,Solana,None,None,None,None,Angel Ring,HCSKtKZBZduqwZkHPHuziMq6Pm3GnELnLMX64DbWPV31,43
2,Solana,Brown Jacket,None,None,None,Pirate Bandana,AiK6cV5ZAY2WatuufNcKwikHbwQ4dHugrXVJNQtne3fA,44
2,Dark,Cop Vest,None,None,None,Space Warrior Hair,4pBvr1dTWz6BLMM2vm4sYA5zmPzN5DjgBKTUrjJnhBnD,45
3,Solana,Green Shirt,None,Mask,None,Blue Punk Hair,7kAw1yBJi11W1h7cNHW7pLmsJTD2mHF81icMnzijdV7i,46
1,Solana,Pirate Vest,None,None,None,None,J5YdgpDHbqSTV8UPZgTkz2TDo7hLHubDJFNYYfBit753,47
2,Orange,Orange Kimono,None,None,None,Space Warrior Hair,2Y34Vg5PZ3JmSBno58ENoZnYmVnT8YaRVbvkq5iDbs9r,48
