Attribute count,Role,Background,Facetats,Eyes,Eyes Items,Form,Hats,Mouth,Hair,Neck,Hand with Items,Upper Part,Random Things,Ears,Nose,Genesis Role?,Companions,Beard,Coats,Bg Feature,mint,rank
13,Og,Og Green,None,Og Red Eyes,Og Scar & Glasses,Og Grey,Og Hairband,Og Joint,Og Hair,None,Og Banana Bud,Og Jacket,None,Og Golden Earring,Og Nose Piercing,Yes,None,None,None,None,DReSNy5cYfyjechUfnbV9HTT2eVtF7rH4sfKWLDziZ8p,1
12,Zombie Ape,Halloweed Smoke,None,Halloweed Red Eyes,None,Zombie Ape,Zombie Beanie,Closed Mouth Bong,Zombie Long Hair,None,Halloweed Pumpkin Bong,Trick Or Weed T Shirt,None,Halloweed Ring,None,Yes,Zombie Penguin,None,None,None,2NNuYnCdWTkHXrJqxaAMznQcHivtzZmJvtv92EAGSFBC,2
12,Bob Marley,Bob Reggae,None,Bob Red Eyes,None,Bob Marley Blackfur,Rasta Hat,Bob Mouth,Bob Dreads Black,None,Bob Joint,Bob Marley Green Vest,Bob Mic Standing,None,None,Yes,None,Bob Beard,None,None,9TaMBYWxMZ9tLbTQD1aZFB582ZuRHTbwbG6fqvmeN88T,3
12,Chong,Blue Smoke,None,Chong Red Eyes,Chong Glasses,Chong Brownfur,Chong Blue Bandana,Laughing,Chong Hair,None,Chong Joint,Chong Hippi Shirt,None,None,None,Yes,None,Chong Beard,None,None,AaTGL6rqx9mkcXcBLJCNZK1m5UkCtrPzhAQSya28Lnfw,4
11,Pablo Escobar,Pablo Flying Cash,None,Pablo Red Eyes,Pablo Black Glasses,Pablo Blackfur,None,Pablo Serious Mouth,Pablo Hair,None,None,Pablo Suit,Pablo Prison Number,None,None,Yes,None,Pablo Moustache,None,None,EWGU19F1eJet7ykJwkh5nDUByHX6Vw3dX8WoFkrC9pof,5
11,Cheech,Orange Smoke,None,Cheech Red Eyes,None,Cheech Brownfur,Cheech Red Beanie,Cheech Laughing Mouth,Cheech Hair,None,Cheech Joint,Cheech Red Checked Shirt,None,None,None,Yes,None,Cheech Beard,None,None,FwNBET5xMTWeh7Fow69kqpckqb8bWUAuYv2ExTAhCinp,6
10,Iron Mike,Boxing Ring,Iron Mike Facetat,Iron Mike Red Eyes,None,Iron Mike Brownfur,None,Iron Mike J,Iron Mike Hair,None,Iron Mike Boxing Glove,Iron Mike White T Shirt,None,None,None,Yes,None,None,None,None,35FKyg4H35VDVR8dusmx8j4mNydcF9GGgvVUNjZ37cjt,7
9,Caesare,Caesare Sky,None,Red Golden Eyes,None,Caesare Goldenfur,Caesaare Crown,Mouth Golden Ring,None,None,None,Caesare Toga,None,Caesare Golden Earring,None,Yes,None,None,None,None,4zLSrmUUw619tJVqAnNAa2P3RoXV6Nibcu1xN94vfECF,8
9,Businessman,Turquoise Fog,None,None,None,Form Bones Blondfur,Green Flat Cap,Bones Open Mouth Dollar J,Smooth Long Light Blonde,None,None,Beige Business Suit With Tie,None,None,None,Yes,None,None,None,Smoke Ring,GwUUV5GxkFazzANLQaTzJa49cCjNK6fhZQxFfv8GNHYk,9
8,Businessman,Blue Mosaic,None,None,None,Form Bones Leofur,None,None,Backstreetboy Style Leo,None,Joint Leo Fur,Blue Weed Shirt,Questionmark,None,None,None,None,None,None,Smoke Ring,6t55Fs5ravpnxYq9f8fhQkqGJ1assmWtFtk623wL7ELD,10
10,Artist,Mat Yellow,None,None,None,Form Bones Brownfur,Green Beret,None,Long Wavy Light Brown,None,Banana Pipe Light Brown Fur,Hippi Top Brown,None,Paintbrush Behind Ear,None,Yes,None,None,None,Smoke Ring,7FzN9yM6ABR9ufaEWHtZTtYb4YXpm7Duisamvcc8YiWw,11
8,Artist,Mat Yellow,None,None,None,Form Bones Brownfur,Pink Hippie Hairband,Bones Open Mouth J,Hippie Leofur,None,None,Banana Shirt,None,None,None,None,None,None,None,Smoke Ring,8JTedJeVtKqh6EnUrz4Bk2Tjkwr5JRgNpu9x7vSErioR,12
7,Chimpion,Orange Mosaic,None,None,None,Leopard,Red Hairband,None,Hippie Leofur,None,Watering Can Leo Fur,Brown Farmer Overall,None,None,None,None,None,None,None,None,Rc4zNeSSWCktAMxiG23v26tC6mKE5zexyxeY2ferZkN,13
11,Farmer,Glass Pastel,None,None,None,Form Bones Redfur,Green Beret,None,Facon Style Red,None,Farmer Scissors Red Fur,Blue Farmer Overall,Cannabis Plant,Green Hippie Hairband,None,Yes,None,None,None,Smoke Ring,5NyWb53tj4ZAqSXsCHELTyxvdZctHnPq634HCWBzFet,14
9,Chimpion,Violet Turquoise,None,None,None,Form Bones Brownfur,Solana Headphones,None,Smooth Long Light Brown,None,Graffiti Spray Can Red Top Light Brown Fur,Samo Hoodie,Flamingo Bong,None,None,None,None,None,None,Smoke Ring,6FAuzWaNYLkVeHmvFNiMixiGSeDYAREdESSeKGVZYXJs,15
7,Artist,Bright Red,None,None,None,Form Bones Brownfur,Solana Astro Helmet,None,Long Wavy Light Brown,None,None,Weed Shirt,None,None,None,None,None,None,None,Smoke Ring,J7frGWookyMrUCTu6nD7xc7V4wV1fikATQZDkB2rypAY,16
6,Scientist,Blue,None,None,Robo Eyes,Leopard,Bong Hat Sol,None,None,None,None,Yellow Poloshirt With Color Splashes,None,None,None,None,None,None,None,None,BV4zQZzeFxJi8PdY7hqa92pcMNL8cLUXzEVcgTizrNzu,17
8,420 Sealz,Green Smoke,None,Angry Eyes,None,Dark Blonde,Kings Crown,None,Long Wavy Dark Blonde,None,None,Suit Dune,None,None,None,Yes,None,None,None,None,96feUYBwHKyhGD45pQbWmzvNL8e4a51vZGijc4Bcs1Xv,18
